index,desc,Life Stage,Z score
Tb927.10.6060,universal minicircle sequence binding protein 2,BSF,-0.460717155
Tb927.10.6330,kinetoplastid kinetochore protein 1,BSF,0.511247914
Tb927.10.5070,"ribonuclease H, putative",BSF,-2.172624088
Tb11.v5.0394,"hypothetical protein, conserved",BSF,-0.589281634
Tb11.v5.0553,"ubiquitin hydrolase, putative",BSF,-0.36512424
Tb927.1.190,"retrotransposon hot spot protein (RHS, pseudogene), putative",BSF,0.320784872
Tb927.1.2600,pumilio/PUF RNA binding protein 9,BSF,-2.959781156
Tb927.1.4010,primase 2,BSF,-1.625654774
Tb927.10.10000,"hypothetical protein, conserved",BSF,-3.269743335
Tb927.10.10200,"hypothetical protein, conserved",BSF,-1.285650839
Tb927.10.10780,"hypothetical protein, conserved",BSF,-0.826881916
Tb927.10.11020,"DNA mismatch repair protein MSH2, putative",BSF,-0.911669154
Tb927.10.11270,"RNA-binding protein, putative",BSF,-2.553216919
Tb927.10.11340,"hypothetical protein, conserved",BSF,-2.856467437
Tb927.10.11450,"TFIIF-stimulated CTD phosphatase, putative",BSF,-1.079544549
Tb927.10.11580,predicted WD40 repeat protein,BSF,-1.248306132
Tb927.10.11840,"WD domain, G-beta repeat, putative",BSF,0.352153309
Tb927.10.11990,"60S ribosome subunit biogenesis protein NIP7, putative",BSF,-0.9743229
Tb927.10.12130,"Ubiquitin family, putative",BSF,0.84048459
Tb927.11.9730,"60S ribosomal protein L34, putative",BSF,0.258904635
Tb927.10.14330,"Utp14 protein, putative",BSF,-1.779225687
Tb927.10.14360,U2 small nuclear ribonucleoprotein 40K,BSF,0.275632734
Tb927.10.14460,"leucine-rich repeat protein (LRRP), putative",BSF,0.354511735
Tb927.10.15540,predicted VPS53-like domain protein,BSF,0.039838301
Tb927.10.15940,"cation transporter, putative",BSF,0.55138077
Tb927.10.2010,hexokinase,BSF,1.481240672
Tb927.10.2660,"hypothetical protein, conserved",BSF,-1.353898114
Tb927.10.3280,"60S ribosomal proteins L38, putative",BSF,-0.176820687
Tb927.10.3380,"60S acidic ribosomal protein P2, putative",BSF,-0.570277114
Tb927.10.3470,"Ankyrin repeats (3 copies), putative",BSF,0.196300751
Tb927.10.4050,"serine palmitoyltransferase, putative",BSF,-3.201154741
Tb927.10.4620,"peptidyl-prolyl cis-trans isomerase, putative",BSF,-1.332602868
Tb927.10.4930,"protein phosphatase 2C, putative",BSF,0.643444611
Tb927.10.4990,cdc2-related kinase 3,BSF,-2.011986983
Tb927.10.6010,"Cohesin subunit SCC3, putative",BSF,-1.527880003
Tb927.10.6070,universal minicircle sequence binding protein 1,BSF,-0.60294843
Tb927.10.7090,"Alternative oxidase, mitochondrial",BSF,-0.645095793
Tb927.10.7430,"GTP-binding protein, putative",BSF,-1.905201545
Tb927.10.7620,"mitochondrial ATP-dependent zinc metallopeptidase, putative",BSF,-2.08675728
Tb927.10.7730,"Domain of unknown function (DUF4496), putative",BSF,-0.777256616
Tb927.10.7740,protein transport protein SEC23,BSF,0.179997896
Tb927.10.8240,"hypothetical protein, conserved",BSF,-1.80630713
Tb927.10.8330,"S. cerevisiae PSP1 homologue, putative",BSF,-2.867134244
Tb927.10.8710,centrin-3,BSF,-0.523489246
Tb927.10.880,thymidine kinase,BSF,-2.723702771
Tb927.10.890,"kinesin, putative",BSF,-2.904239433
Tb927.10.8980,"hypothetical protein, conserved",BSF,-1.35918316
Tb927.10.9160,"Cyclin 12, L-type",BSF,-0.422810617
Tb927.10.9800,60S ribosomal protein L22,BSF,-0.339843994
Tb927.11.10520,kinetoplastid kinetochore protein 2,BSF,-0.700171744
Tb927.11.10620,"hypothetical protein, conserved",BSF,0.50304887
Tb927.11.11620,"hypothetical protein, conserved",BSF,1.399478021
Tb927.11.12290,"hypothetical protein, conserved",BSF,2.00490953
Tb927.11.12410,kinetoplastid kinetochore protein 10,BSF,-2.620514432
Tb927.11.1300,"UBA/TS-N domain containing protein, putative",BSF,-2.122019659
Tb927.11.13270,"hypothetical protein, conserved",BSF,-1.832136918
Tb927.11.13520,"hypothetical protein, conserved",BSF,-0.635783279
Tb927.11.13710,"hypothetical protein, conserved",BSF,-0.947489985
Tb927.11.14410,"Ankyrin repeats (3 copies), putative",BSF,-0.437039788
Tb927.11.14490,"RNA polymerase subunit, putative",BSF,0.238827072
Tb927.11.14900,coatomer subunit epsilon,BSF,0.245412062
Tb927.11.14950,zinc finger protein 2,BSF,-0.57039285
Tb927.11.15240,"Ras-related protein RAB2B, putative",BSF,-0.362815759
Tb927.11.15800,Cytokinesis initiation factor 1,BSF,-2.531178674
Tb927.11.15860,"L-Lysine transport protein, putative",BSF,-0.911673316
Tb927.11.16380,"TPR repeat, putative",BSF,0.165586042
Tb927.11.16390,"cyclin dependent kinases regulatory subunit, putative",BSF,-1.760412147
Tb927.11.16750,"hypothetical protein, conserved",BSF,-1.593068129
Tb927.11.2260,Eukaryotic translation initiation factor 4E-1,BSF,-0.352878832
Tb927.11.2290,"hypothetical protein, conserved",BSF,1.082584743
Tb927.11.2860,"hypothetical protein, conserved",BSF,0.114480626
Tb927.11.3090,"LisH domain-containing protein FOPNL, putative",BSF,-2.317620614
Tb927.11.3320,"ras-like small GTPase, putative",BSF,0.290169187
Tb927.11.3580,"Thiamin pyrophosphokinase, vitamin B1 binding domain containing protein, putative",BSF,0.662113926
Tb927.11.4180,"PSP1 C-terminal conserved region, putative",BSF,-3.104124127
Tb927.11.4710,"hypothetical protein, conserved",BSF,-1.562452538
Tb927.11.5520,triosephosphate isomerase,BSF,0.284459128
Tb927.11.5590,Anaphase-promoting complex-associated protein AP1,BSF,0.230721019
Tb927.11.5820,"Inhibitor of apoptosis-promoting Bax1, putative",BSF,0.064955115
Tb927.11.5860,"AGC/RSK family serine/threonine kinase, putative",BSF,1.083655558
Tb927.11.6340,"PUB domain containing protein, putative",BSF,-0.773740176
Tb927.11.6420,"hypothetical protein, conserved",BSF,-1.135943512
Tb927.11.6890,DNA repair and recombination helicase protein PIF1,BSF,1.113012548
Tb927.11.7050,"PA domain containing protein, putative",BSF,-0.585020945
Tb927.11.7560,Component of motile flagella 15,BSF,0.310555172
Tb927.11.7600,"hypothetical protein, conserved",BSF,-2.554326586
Tb927.11.7780,Mitochondrial import receptor subunit ATOM46,BSF,-0.074998235
Tb927.11.7850,"hypothetical protein, conserved",BSF,0.332243557
Tb927.11.7930,"RNA polymerase B subunit RPB8, putative",BSF,0.410225498
Tb927.11.8220,aurora B kinase,BSF,-2.675589724
Tb927.11.8370,Nucleus and spindle associated protein 1,BSF,0.820315803
Tb927.11.8920,"Centrosomal protein of 120 kDa, putative",BSF,-1.35810697
Tb927.11.9300,"Domain of unknown function (DUF3342), putative",BSF,0.349137074
Tb927.11.9860,"EF-hand domain pair, putative",BSF,-0.11398272
Tb927.11.9870,Telomere-associated protein 1,BSF,0.253015255
Tb927.2.1820,"CAMK/CAMKL family protein kinase, putative",BSF,0.666439341
Tb927.2.2670,histone H4 variant,BSF,2.501187988
Tb927.2.3720,"ubiquitin-conjugating enzyme, putative",BSF,-2.569730455
Tb927.2.380,"retrotransposon hot spot protein 2 (RHS2), putative",BSF,0.452756708
