protein_id,0h_A,05h_A,1h_A,2h_A,4h_A,8h_A,12h_A,0h_B,05h_B,1h_B,2h_B,4h_B,8h_B,12h_B,0h_C,05h_C,1h_C,2h_C,4h_C,8h_C,12h_C
Tb04.24M18.150,,0.7989317377795552,,0.48342612061760437,0.4206475204404454,,,,,,0.6113996719214836,,,,,,,,,,
Tb927.5.4450,,0.921368033693268,0.7203766695054318,0.8305684288767073,0.6651134882788446,0.42974755092402156,0.17049911431875742,,0.9221981194795329,,0.7562701086956523,0.6183353820114041,0.3693398924731183,0.15765995040683836,,,,0.73427982210662,0.5464034496798313,0.3111159631955601,0.11605387602802317
Tb927.5.4460,0.9632342370218744,0.9058501897069435,0.884178012834237,0.8130647759430294,0.6446869348939285,0.3817741222530942,0.24372682042910812,0.9433073321170563,0.9336020126899525,0.8960850953431054,0.8295309541150766,0.6309725383098164,0.3864762597540008,0.22720099400672417,0.9315195460647023,0.9240084918110127,0.8766074723247232,0.795227760063344,0.6426548174958393,0.39516910962828783,0.21260809635329542
Tb927.5.4470,,0.8263592302102764,0.8571425898495362,0.7961031809620928,0.5603296506419827,0.4013050285259388,0.330976975453337,,0.8722799441715569,0.8830490654205608,0.7889149966292824,0.611829627042341,0.3866433741787727,0.252725851849399,,0.8993923242417934,0.843846818067414,0.7899087645052733,0.5830533129922072,0.3941154570540056,0.28712300172212857
Tb927.5.4480,1.008286100252932,0.9950687587943859,0.9442317559564916,0.888709457587263,0.7006823965211789,0.44665395136096625,0.2701786228193563,1.0247061517152578,0.9532895341065641,0.9627903927378175,0.8910398264723912,0.7135621219531029,0.43328402448992176,0.2763442184154176,0.9892571585168412,0.976795866284912,0.9519317255502318,0.8903293387955129,0.7218170518658533,0.4362909103445898,0.26857458345100255
Tb927.5.4500,0.9611257852655627,0.9666715391361882,0.9134772236855042,0.8995088380593392,0.7379642405543474,0.38947507525586994,0.21430745118437355,0.9567231877914373,0.9953961276272885,0.9675469503207045,0.8791763407724043,0.7322187345197966,0.3908798948987057,0.21582532892081682,0.9579867588355565,1.0071296122450806,0.9387900674381817,0.8813007337347342,0.7332998842547437,0.3964826472430045,0.22741582971924218
Tb927.5.4520,0.9339332692502277,0.9322707737862681,0.8242422084761101,0.387043491613916,0.6100870069605568,0.35416383446173166,0.18169839252527448,0.9148891558646854,0.8751672529778436,0.7643656447973414,0.3729353774500291,0.7411313841730722,0.32596669138196543,0.1991576722208406,0.9265693421911785,0.8294887795046704,0.8309184593321041,0.6174405052862831,0.6045542791884992,0.3303678990081155,0.20572199945849073
Tb927.5.4560,1.0224991495494158,1.0040512796959502,0.9631639215097738,0.8878647394151181,0.7116814989553144,0.4286710945624099,0.27388663344697967,1.0138347453853507,1.0131131455470817,0.9636569672695302,0.8826917258397543,0.7167457750521555,0.43963278486852225,0.2571138855715992,0.9995567018562412,1.0066342444863072,0.9742602047450223,0.8746578221977201,0.7150262165450122,0.4380318180232356,0.2597282070564642
Tb05.5K5.210,0.9588952094591849,0.9294567436738627,0.8232792459959278,0.636169681007551,0.48694114890198176,0.3176850892181854,0.19361474155829966,1.0095539952938792,0.8997999594854654,0.8336061794701588,0.6771159288072056,0.45646990528567066,0.2976323234527821,0.17193893932154802,0.9235974474587579,0.9097659202436686,0.8667525587879233,0.6581005791616492,0.4568176209421669,0.293571890833899,0.1652322800836728
Tb927.5.4580,,,,,,,,,,,,,,,,,,,,,
Tb927.5.4600,,,,,,,,,0.818662660207273,,,,,,,,,0.39417256464983547,,,
Tb927.5.4380,0.9601173305562788,0.8984782051201862,0.9004745088397668,0.8347802201027146,0.6547796228358114,0.39463120444889643,0.243783972299031,0.9605113157417386,0.926599962856347,0.9388994901307487,0.8212739526311448,0.6322385667602674,0.36753549792839346,0.2527283463958324,0.9474098241178851,0.9622533980245026,0.9052998312607237,0.8061829307355004,0.6796873744999457,0.3851177666648349,0.23009465393462053
Tb927.5.4390,1.0040288652270284,0.965614306927497,0.9344886877018456,0.8341248707673221,0.6986456231444472,0.40879128476108173,0.24770150282542672,1.0257810779402228,0.9729116889201219,0.9444145639352256,0.8645426674763891,0.7037447791744629,0.40537525003731895,0.23640493814705993,1.0005633134913208,1.0044580276625976,0.9328017599292578,0.8475369257011829,0.7001803673142019,0.38914445793258007,0.22056641090406523
Tb05.5K5.420,0.9515161883856806,0.8998559758690091,0.8111717292496525,0.7527208032330819,0.5992323143593349,0.36843327817060323,0.18369155704017867,0.9291866990535221,0.9006594771667427,0.879654511257601,0.7534256705140493,0.5857658899059061,0.336512760827999,0.2435799806739574,0.9303047902987038,0.9080447715797798,0.8593996880579846,0.7933036596760213,0.5899324937671803,0.39437197461114604,0.16576898108802723
Tb927.5.4400,0.9844848290228124,0.9500157895650062,0.8849087979678,0.8994698399435265,0.7573803101389617,0.5025378921395841,0.3044790429805539,0.9917434937392586,0.9485200239672232,0.927541180815702,0.8862005006784002,0.757556498979349,0.5165795499178099,0.2979217766647995,0.9142718459069021,1.0041569190543223,0.9322375994221961,0.8855801173972776,0.7144274203034937,0.5041661337155879,0.3167390239531689
Tb927.5.4410,,0.9793878088083146,0.8720974874514767,0.7360391152502911,0.49468644067796613,0.1977700857839047,0.11858501606791694,,0.9331137553545931,0.9013812534664449,0.7287246522167122,0.46989802114961793,0.21466441875401412,0.09752555086628412,,0.9399525484351715,0.8720536287280174,0.7033908701854494,0.47867718123882447,0.19735623650107995,0.0959166526286773
Tb927.5.4420,1.0110653832421286,0.9890809947083122,0.9304700785815032,0.8025303829517881,0.6229771188419332,0.3850927058636011,0.2622861252966986,1.0230759393065454,0.9872963621762398,0.9391414118705038,0.8243996063579161,0.6110915458890459,0.3757620690359061,0.25020696580322443,1.020548451165546,0.9910865605828222,0.9378263978263979,0.80109196743381,0.6180398242417748,0.38977451069640423,0.24999658721462836
Tb927.5.4430,,,0.7879650224529892,0.633514690931273,0.46259012309495895,0.11157060820218714,,,0.8295145229453587,0.7706381003046864,0.7049373957859634,0.3791212825933757,0.17914959016393442,,,0.834001523823024,0.8007363460911849,0.659980297766057,0.47931671630454337,,0.36744207444583854
Tb927.5.4440,,0.9069936950755925,0.8619204260465007,0.7837667467724808,0.642195244249965,0.41652343042071205,0.2871324513741239,0.9376424063273948,0.9165559162124778,0.9111245637123077,0.8223690415553762,0.6320045158435932,0.42275454970420884,0.22701635803282147,0.931421730487608,0.9169784553873574,0.8592057016926901,0.8185105391446273,0.6450235966872617,0.4013120852570786,0.2707055906154875
Tb06.3A7.960,0.92085292098703,0.751567481884058,0.8813302191879268,0.6674914557553285,0.5447381604696674,0.3825934123416428,0.2588809083324265,0.913679382440431,0.7932665244418289,0.8384009487769108,0.7135553646298715,0.5818580899109178,0.33285407554671964,0.22552277561393333,0.9142727680940523,0.7862910712775851,0.7743240207490912,0.7231034784019571,0.5888573970345965,0.3722941275244623,0.2446326130254429
Tb07.11L3.100,,0.7155937645075378,,0.6367950247830653,0.5898471291363541,0.36422679273084474,0.3907757792118633,,,0.7758117013383166,0.7224728761514841,0.480349578773325,0.30650662863203326,0.32702519722124107,,,,0.7860510844603216,0.6743995902850276,0.34375370672178723,0.1868625689985718
Tb927.7.2140,,0.9186172573496263,0.880849045387133,0.6653818774939563,0.45910446497848634,0.2600044501364795,0.10958452992792893,1.017555312383487,0.9155229570592264,0.8827097633545531,0.7067400374804467,0.4777259879253568,0.1968654752302925,0.12228007511737089,,0.9027660534838972,0.8416861192059578,0.7107710532521396,0.5369525663716815,0.27327269141496124,0.09026016001579322
Tb08.27P2.160,0.9446025160975228,0.9243817209644398,0.8878491339276311,0.8341164138470694,0.6560595381090955,0.3361777320936318,0.2406039497573086,0.9900106465896088,0.9376348845696526,1.0049831597825574,0.909986149857232,0.6402481416903735,0.3664818442302683,0.19889487226612754,0.9254091262574317,1.045369794145762,0.9979696061106994,0.8052450331125829,0.7014500377704301,0.3568763172490294,0.19935683969964088
Tb08.27P2.250,,,,0.7716995924898123,,,,,,,0.7631166185522087,,,,,,,,0.5214788097977973,,
Tb09.v4.0010,,,,,,,,,,,,,,,,,,,,,
Tb927.9.15850,,,,0.782956739746419,0.5643974425190119,0.2631107423246314,0.1573043200816795,,,,0.7287301442481636,0.4995735426255661,0.22488097469540771,0.30425708369109555,,,,0.772081993896236,0.554513731825525,0.17375998087497013,
Tb09.v4.0015,0.9400782699911242,0.8819333884634285,0.8720204182618435,0.5613274475067523,0.25709749823139755,0.11143702917947741,0.17105499872095997,0.9015089138441377,0.8626927438953825,0.8759222978989972,0.5669398961764656,0.348636804079898,0.23322890583165462,0.13075539547105192,1.008099356980528,0.8878049318391708,0.8392195051829608,0.5945593187428919,0.2867649075730471,0.1489880830462713,0.13279319042842258
Tb11.v5.0463,0.9938680650934367,0.8378592100016722,0.6866056256308766,0.4298658178942838,0.25248205945341456,0.10006194682063783,0.0671822414542832,0.9864037544296523,0.8845456825020517,0.7688302819647109,0.47368147814837736,0.2707923091566724,0.11589567342802212,0.05628788546826777,0.9077815983651694,0.8759320762525543,0.7187499382868429,0.4829640335185011,0.28240549898689377,0.092273559553221,0.04937582003116286
Tb09.v4.0017,0.9338856461255056,,0.5143199610199772,,0.874327356885543,0.6386449803204169,0.3996308585832529,,0.9450621591674452,,0.960069897977195,0.8919924343774508,,0.4069560382068491,,,,0.3141986885494447,0.9121714426011014,0.6143962001904283,0.4077823802163833
Tb09.v4.0067,1.0129211858046188,1.0048218600679495,0.9326250769740894,0.8609323086381802,0.6790846131675382,0.40645194197332696,0.33511706263498925,1.0290721932304645,0.9968129560891092,0.9709276019003552,0.8730265633417595,0.697933740404273,0.41846885350029495,0.2726776478339648,1.026657399185015,1.0107766226563517,0.9596217719109286,0.8470857940284333,0.6826595310147433,0.45451969838775197,0.29467279707169003
Tb09.v4.0107,,0.7506183700855595,0.5026911926180379,,0.2004820596022358,,,,0.6701460677739169,0.6116749568955336,,0.16637611399224614,,0.0390517820980834,0.8349824203629223,,0.5132417607996167,,0.19882377162766757,,
