protein_id,0h_A,025h_A,0.5h_A,1h_A,2h_A,4h_A,8h_A,20h_A,28h_A,0h_B,025h_B,0.5h_B,1h_B,2h_B,4h_B,8h_B,20h_B,28h_B,0h_C,025h_C,0.5h_C,1h_C,2h_C,4h_C,8h_C,20h_C,28h_C
Tb927.5.4450,,,,,,0.8062566320568443,0.6132536240378228,0.36357692501131617,0.2940202860416755,,,,0.9742820439704855,0.9229676324300589,0.7592687398799886,0.6213718359852496,0.3527776134414009,0.258284665974876,,,,0.96909683792045,0.9327060411855986,0.8041858913083294,0.651418299874357,0.38930839243692433,0.28273455179998
Tb927.5.4460,,,0.9206231957247627,,0.9275131143078118,0.8818352917238924,0.7671224730854374,0.4359372044637791,0.3316372046918883,,0.9237839693426464,,0.9587476393653331,0.9264154561468476,0.8260497120212833,0.744166324716181,0.43048200950441273,0.3115017426882861,0.9385016694217689,0.9380151011368335,,0.9725445578282663,0.9592884258722615,0.8411756492599833,0.7464394227117357,0.44214556565916874,0.3100783253621681
Tb927.5.4470,,,,,0.850046011597844,0.7182337581758487,0.5268673505686898,0.28406640252770954,0.14556898308292632,,,,0.6430677336600682,,0.7331840312246951,0.5293375712628021,,0.20814239861113915,,,0.757162453254333,,0.8804859047234326,0.7390117725868028,0.5311593201602873,,0.2918590750334029
Tb927.5.4480,0.9408930845838606,0.907010845310873,0.9041209757345183,0.9399904537991958,0.896921388196432,0.807714720450646,0.7018459153731789,0.4261542265710551,0.32502432602598597,0.9390023686123684,0.9135505239573041,0.8862846067607881,0.8984145926767143,0.9009827721574963,0.8289107790922374,0.674146783449109,0.41631342324983944,0.3177678104620126,0.9389835908873666,0.9158954095839189,0.9066838111512465,0.8994385066671934,0.8541980138429129,0.823201687395447,0.6757150525266468,0.3895518267431516,0.30430536339220315
Tb927.5.4500,0.9467347324821831,0.9318022774985686,0.9291265121850365,0.917865323825792,0.8719494600863418,0.7719793845556682,0.6274608864403654,0.36066022023913097,0.3019853562870785,0.9462520014905894,0.9300280931676592,0.9251513064443004,0.9342921782505188,0.8723604736722302,0.7644557574339018,0.6338258752413736,0.35414032989409777,0.25740927791875046,0.9460096748764729,0.9267720424796246,0.9277321333948553,0.9179206032610431,0.8866024894554365,0.8085609883417435,0.6152779703313461,0.39083045807959554,0.2855947737691996
Tb927.5.4520,,,,0.7372552773921784,,0.3312152126267324,,0.28521061083739363,,,,,0.864175776294037,0.6466470665046951,,,,,,,,,0.5845518534313497,,,,
Tb927.5.4560,,,,,0.9680904924615186,0.8381578717226662,0.7327528302578068,0.39691061219853857,0.3254146536603379,,,,,,0.8818018008755042,0.7402210240704296,0.408889811895457,0.34113838884307,,,,,0.9615261903763517,0.880187516903567,0.7392040559675999,0.4344649698440997,0.3403587948410834
Tb927.5.4380,0.9436468745132889,,0.9124057886083574,0.9231229800856411,0.901751735096811,0.8209996467679265,0.6753737934187422,0.3997678392931996,0.3024969558960735,,,,0.9391476417161728,0.9315950951835108,0.819129190240848,0.6807538392190463,0.3984318543142072,0.3263980833490953,0.9414327960500845,,0.8561042739479039,0.9152030186989855,0.9366165299323531,0.8312099752651374,0.6794827094361153,0.4158853413737557,0.3016590291210062
Tb927.5.4390,,,,0.9712977129070504,0.9249895153076508,,0.3881667294759582,0.2983438592124776,0.332141312184571,,,,,,,0.7541371158392436,0.387255431845206,0.3253582395087002,,,,0.9694084451772058,0.9320282835330265,0.855427175742543,0.7306269870450073,0.4288025002741529,0.28479042764925794
Tb927.5.4400,0.3986800524946818,,,0.5577361170008185,0.7508416704472195,,0.6807109940750494,0.37834910088827906,0.3116778213708747,,0.33284051007207544,,,0.8850074447371435,0.7904948480795675,,0.4525057222021443,0.2692712283191036,,,0.9282437837384275,0.9136668537659238,,0.7880386242227128,0.6776549345775433,0.42571785268414486,0.28499776445366687
Tb927.5.4410,0.9646123217239441,,,0.8932963585802778,,0.6825513986912927,0.5585462340721101,0.25751895086691007,0.14656491163980093,,,,0.8936836191444394,0.8359071776089215,0.6985749225780751,0.5202424111977293,0.24390563074852314,0.1658992367212771,,,0.932941629703233,0.9488591302623753,0.8970800929545574,0.7350972313655293,0.5134243965207924,0.25374361081858576,0.17897699803392814
Tb927.5.4420,0.9571553440132802,0.9743763901536073,0.939112768225352,0.916970766554911,0.9148403739962078,0.7134835447899838,0.600699574172243,0.3623570678893001,0.25911802753267815,0.9527729679222882,0.9453498292503382,0.9412727644771843,0.9548777365861059,0.8694657486491197,0.7008253632967592,0.5838082955443691,0.3159815354153956,0.2632793534400943,0.9535138542823692,0.9459502373807142,0.9511700164511305,0.9509737029440282,0.8742919845996739,0.7348433441748369,0.5777660688697976,0.3504316103531106,0.2623387751645253
Tb927.5.4430,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb06.3A7.270,,,,,0.835970929837669,0.7663741507365657,0.5589180050718512,,,,,,,,,,,,,,,,,,0.584668484745185,0.2993467401050339,
Tb06.3A7.960,,,,,,0.6561577576584398,0.5180433383394122,0.2601645582948512,,,,0.8969935683302588,,0.6907149027512368,0.6957520091848449,0.4934895833333333,0.18216989148351315,0.18513111187449904,,0.8818210731973283,0.8759852850766485,,,0.677361459408959,0.49949494949494955,0.28686571703756275,0.18819502524548526
Tb927.7.2140,,0.9701340818715897,,,0.8829111974753501,0.732864655947376,0.4894545880149812,0.20649290830831782,0.13780458582137417,,,,0.9495125371552031,,0.6981175499042191,0.5172859181483913,0.12382180629200987,0.1229133318088269,,,,,0.8779150797272172,0.7087328247836331,0.5022837184309511,0.21364283976787016,0.18598318258947824
Tb08.27P2.620,,,,,,,,,0.2701351342765837,,0.9347723120644157,,,,,0.6652436726292291,0.29031881312107244,0.29246904245185745,,,,,,,,,
Tb09.v4.0009,0.7240724852455607,,,,0.5684199215601999,0.7341169556273877,0.623049107663595,0.36471589792844517,0.19818229102506194,,,0.767769473453343,0.882485557277723,0.546251465266806,0.7113890717577354,0.5907112123513034,0.30497462709518686,0.19813846217206868,,,0.7362787803360299,0.8403811252268603,0.5924611973392461,0.6586134453781513,0.6491824931457504,0.2649221363955554,0.20532419609910382
Tb09.v4.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,
