protein_id,amplitude,amplitude_err,tau,tau_err,offset,offset_err,half_life,bins,exp_rmse,protein_groups,desc,used_for_analysis,GO,0h_A,025h_A,0.5h_A,1h_A,2h_A,4h_A,8h_A,20h_A,28h_A,0h_B,025h_B,0.5h_B,1h_B,2h_B,4h_B,8h_B,20h_B,28h_B,0h_C,025h_C,0.5h_C,1h_C,2h_C,4h_C,8h_C,20h_C,28h_C
Tb927.5.4450,0.87754653,0.053320881,14.05068848,2.130837798,0.156522873,0.058584452,12.47188047,4,0.013594799,Tb927.5.4450;Tb05.5K5.100,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0010608|posttranscriptional regulation of gene expression; GO:0005737|cytoplasm,,,,,,0.806256632,0.613253624,0.363576925,0.294020286,,,,0.974282044,0.922967632,0.75926874,0.621371836,0.352777613,0.258284666,,,,0.969096838,0.932706041,0.804185891,0.6514183,0.389308392,0.282734552
Tb927.5.4460,1.005835709,,26.24923695,,8.36E-10,,18.1730133,10,0.030336332,Tb927.5.4460;Tb05.5K5.110,"major vault protein, putative;major vault protein, putative",1,GO:0005737|cytoplasm,,,0.920623196,,0.927513114,0.881835292,0.767122473,0.435937204,0.331637205,,0.923783969,,0.958747639,0.926415456,0.826049712,0.744166325,0.43048201,0.311501743,0.938501669,0.938015101,,0.972544558,0.959288426,0.841175649,0.746439423,0.442145566,0.310078325
Tb927.5.4470,0.866133075,0.010581215,9.048995013,0.258181769,0.172458623,0.013118141,8.253004998,1,0.001977486,Tb927.5.4470;Tb05.5K5.120,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0035869|ciliary transition zone; GO:0005929|cilium,,,,,0.850046012,0.718233758,0.526867351,0.284066403,0.145568983,,,,0.643067734,,0.733184031,0.529337571,,0.208142399,,,0.757162453,,0.880485905,0.739011773,0.53115932,,0.291859075
Tb927.5.4480,0.873750403,0.070938583,22.26978966,2.233410885,0.064936947,0.07108957,17.13208407,9,0.014867087,Tb927.5.4480;Tb05.5K5.130,"paraflagellar rod component par4, putative;paraflagellar rod component par4, putative",1,none,0.940893085,0.907010845,0.904120976,0.939990454,0.896921388,0.80771472,0.701845915,0.426154227,0.325024326,0.939002369,0.913550524,0.886284607,0.898414593,0.900982772,0.828910779,0.674146783,0.416313423,0.31776781,0.938983591,0.91589541,0.906683811,0.899438507,0.854198014,0.823201687,0.675715053,0.389551827,0.304305363
Tb927.5.4500,0.903223577,0.121942386,19.93372614,4.055968648,0.043146572,0.122003902,14.76963127,7,0.0134603,Tb927.5.4500;Tb05.5K5.150,"ras-like small GTPase, putative;small GTP-binding protein, putative",1,GO:0005622|intracellular; GO:0006886|intracellular protein transport; GO:0005525|GTP binding,0.946734732,0.931802277,0.929126512,0.917865324,0.87194946,0.771979385,0.627460886,0.36066022,0.301985356,0.946252001,0.930028093,0.925151306,0.934292178,0.872360474,0.764455757,0.633825875,0.35414033,0.257409278,0.946009675,0.926772042,0.927732133,0.917920603,0.886602489,0.808560988,0.61527797,0.390830458,0.285594774
Tb927.5.4520,,,,,,,,none,,Tb927.5.4520;Tb05.5K5.160,"Kinetochore interacting protein 1;hypothetical protein, conserved",0,GO:0005634|nucleus; GO:0005819|spindle; GO:0000922|spindle pole; GO:0000776|kinetochore; GO:0005737|cytoplasm,,,,0.737255277,,0.331215213,,0.285210611,,,,,0.864175776,0.646647067,,,,,,,,,0.584551853,,,,
Tb927.5.4560,0.963312703,0.038952177,20.05937948,1.384973203,0.093185388,0.042578645,15.92017675,8,0.017312174,Tb927.5.4560;Tb11.v5.0409;Tb05.5K5.200,"guanine deaminase, putative;guanine deaminase, putative;guanine deaminase, putative",1,"GO:0005737|cytoplasm; GO:0006147|guanine catabolic process; GO:0016810|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; GO:0097014|ciliary plasm; GO:0008270|zinc ion binding; GO:0008892|guanine deaminase activity; GO:0005654|nucleoplasm; GO:0020015|glycosome; GO:0016787|hydrolase activity",,,,,0.968090492,0.838157872,0.73275283,0.396910612,0.325414654,,,,,,0.881801801,0.740221024,0.408889812,0.341138389,,,,,0.96152619,0.880187517,0.739204056,0.43446497,0.340358795
Tb927.5.4380,0.943385005,,24.46715913,,1.84E-10,,16.93777106,9,0.026642571,Tb927.5.4380;Tb05.5K5.30,"Kinetoplastid-specific Protein Phosphatase 1;serine/threonine protein phosphatase, putative",1,GO:0036064|ciliary basal body; GO:0016791|phosphatase activity; GO:0031981|nuclear lumen; GO:0005829|cytosol; GO:0030990|intraciliary transport particle; GO:0000910|cytokinesis; GO:0006470|protein dephosphorylation; GO:0003677|DNA binding; GO:0016787|hydrolase activity; GO:0097014|ciliary plasm; GO:0004722|protein serine/threonine phosphatase activity; GO:0005737|cytoplasm,0.943646875,,0.912405789,0.92312298,0.901751735,0.820999647,0.675373793,0.399767839,0.302496956,,,,0.939147642,0.931595095,0.81912919,0.680753839,0.398431854,0.326398083,0.941432796,,0.856104274,0.915203019,0.93661653,0.831209975,0.679482709,0.415885341,0.301659029
Tb927.5.4390,1.010879523,,24.36032826,,2.26E-11,,16.86372154,9,0.033552849,Tb927.5.4390;Tb05.5K5.40,"hypothetical protein, conserved;hypothetical protein, conserved",1,none,,,,0.971297713,0.924989515,,0.388166729,0.298343859,0.332141312,,,,,,,0.754137116,0.387255432,0.32535824,,,,0.969408445,0.932028284,0.855427176,0.730626987,0.4288025,0.284790428
Tb927.5.4400,0.930862974,0.234516435,24.23720042,13.71601166,3.33E-09,0.124238336,16.77837592,9,0.072796653,Tb927.5.4400;Tb05.5K5.50,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005930|axoneme; GO:0005515|protein binding; GO:0005737|cytoplasm,0.398680052,,,0.557736117,0.75084167,,0.680710994,0.378349101,0.311677821,,0.33284051,,,0.885007445,0.790494848,,0.452505722,0.269271228,,,0.928243784,0.913666854,,0.788038624,0.677654935,0.425717853,0.284997764
Tb927.5.4410,0.864469707,0.021273449,9.98175201,0.69606394,0.129896919,0.017491846,8.517485116,1,0.014289037,Tb927.5.4410;Tb05.5K5.60,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0006364|rRNA processing,0.964612322,,,0.893296359,,0.682551399,0.558546234,0.257518951,0.146564912,,,,0.893683619,0.835907178,0.698574923,0.520242411,0.243905631,0.165899237,,,0.93294163,0.94885913,0.897080093,0.735097231,0.513424397,0.253743611,0.178976998
Tb927.5.4420,0.769895585,0.010385396,11.95570284,0.51411029,0.187538402,0.010372866,11.59448702,3,0.024544069,Tb927.5.4420;Tb05.5K5.70,"nucleolar RNA helicase II, putative;nucleolar RNA helicase II, putative",1,GO:0003729|mRNA binding; GO:0005634|nucleus; GO:0003723|RNA binding; GO:0004386|helicase activity; GO:0005524|ATP binding; GO:0008026|ATP-dependent helicase activity; GO:0005730|nucleolus; GO:0005654|nucleoplasm; GO:0003676|nucleic acid binding,0.957155344,0.97437639,0.939112768,0.916970767,0.914840374,0.713483545,0.600699574,0.362357068,0.259118028,0.952772968,0.945349829,0.941272764,0.954877737,0.869465749,0.700825363,0.583808296,0.315981535,0.263279353,0.953513854,0.945950237,0.951170016,0.950973703,0.874291985,0.734843344,0.577766069,0.35043161,0.262338775
Tb927.5.4430,,,,,,,,none,,Tb927.5.4430;Tb05.5K5.80,"calcium/calmodulin-dependent protein kinase, putative;calcium/calmodulin-dependent protein kinase, putative",0,GO:0004674|protein serine/threonine kinase activity; GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb06.3A7.270,,,,,,,,none,,Tb06.3A7.270,"hypothetical protein, conserved",0,none,,,,,0.83597093,0.766374151,0.558918005,,,,,,,,,,,,,,,,,,0.584668485,0.29934674,
Tb06.3A7.960,0.789635988,0.002910565,10.22269325,0.095990953,0.135615558,0.001386444,8.984693095,2,0.003626133,Tb06.3A7.960,hypothetical protein,1,none,,,,,,0.656157758,0.518043338,0.260164558,,,,0.896993568,,0.690714903,0.695752009,0.493489583,0.182169891,0.185131112,,0.881821073,0.875985285,,,0.677361459,0.499494949,0.286865717,0.188195025
Tb927.7.2140,0.971675231,0.028068132,9.274349519,0.625271495,0.097009038,0.032655913,7.379114277,1,0.014455701,Tb927.7.2140;Tb07.11L3.90,"zinc finger protein family member, putative;zinc finger protein family member, putative",1,GO:0031981|nuclear lumen; GO:0003723|RNA binding; GO:0097014|ciliary plasm; GO:0046872|metal ion binding; GO:0010608|posttranscriptional regulation of gene expression; GO:0005654|nucleoplasm; GO:0005737|cytoplasm,,0.970134082,,,0.882911197,0.732864656,0.489454588,0.206492908,0.137804586,,,,0.949512537,,0.69811755,0.517285918,0.123821806,0.122913332,,,,,0.87791508,0.708732825,0.502283718,0.21364284,0.185983183
Tb08.27P2.620,,,,,,,,none,,Tb08.27P2.620,"variant surface glycoprotein, degenerate",0,GO:0020012|evasion or tolerance of host immune response,,,,,,,,,0.270135134,,0.934772312,,,,,0.665243673,0.290318813,0.292469042,,,,,,,,,
Tb09.v4.0009,0.776873471,,20.72498746,,7.74E-10,,14.34389534,6,0.08079714,Tb09.v4.0009;Tb927.9.15660,"receptor-type adenylate cyclase, putative;procyclic-enriched flagellar receptor adenylate cyclase 6",1,GO:0016849|phosphorus-oxygen lyase activity; GO:0035556|intracellular signal transduction; GO:0009190|cyclic nucleotide biosynthetic process,0.724072485,,,,0.568419922,0.734116956,0.623049108,0.364715898,0.198182291,,,0.767769473,0.882485557,0.546251465,0.711389072,0.590711212,0.304974627,0.198138462,,,0.73627878,0.840381125,0.592461197,0.658613445,0.649182493,0.264922136,0.205324196
Tb09.v4.0015,,,,,,,,none,,Tb09.v4.0015;Tb927.9.15870,hypothetical protein;hypothetical protein,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb09.v4.0067,0.905599271,0.069485061,22.16323937,2.994350458,0.072161151,0.071336853,17.17861013,9,0.011905462,Tb09.v4.0067,"retrotransposon hot spot protein, pseudogene",1,none,,,,0.917381242,0.917448395,0.820344597,0.703326813,0.452170049,0.334529531,0.973430649,0.976967783,,0.964754891,0.916184752,0.841069052,0.661726458,0.368419773,0.310133307,0.95344944,0.964722553,0.963117249,0.963730682,0.88993078,0.826812395,0.710246446,0.436505571,0.350350943
Tb927.10.4430,1.019707273,,19.95073626,,2.33E-12,,13.80722529,5,0.012244296,Tb927.10.4430;Tb10.v4.0033;Tb11.v5.0767,"pumillo RNA binding protein PUF1;pumillo RNA binding protein PUF1;pumillo RNA binding protein PUF1, putative",1,GO:0003729|mRNA binding; GO:0003723|RNA binding; GO:0016071|mRNA metabolic process; GO:0010608|posttranscriptional regulation of gene expression; GO:0016049|cell growth; GO:0005737|cytoplasm; GO:0005488|binding,,,,,0.926065589,0.849586099,0.707506179,0.369036027,0.257862255,,0.941235314,,0.971959509,0.933802238,0.801007458,0.700095988,0.298564793,0.255555416,,,0.918870881,,0.892929156,0.830418033,0.678849437,0.380015576,0.234168032
Tb927.10.4440,,,,,,,,none,,Tb927.10.4440;Tb10.v4.0034,"predicted SAP domain protein;SAP domain containing protein, putative",0,GO:0005635|nuclear envelope; GO:0005634|nucleus,,,,,,0.685023807,0.502604051,,0.215605358,,,,,,0.700315762,0.50455782,,,,,,,,,,0.51318055,
