[Gene ID]	[source_id]	[Product Description]	[Input ID]	[# TM Domains]	[SignalP Scores]	
Tb06.3A7.960	Tb06.3A7.960:mRNA	hypothetical protein	Tb06.3A7.960	0	NN Sum: 4, NN D: .8, HMM Prob: 1	
Tb09.v4.0067	Tb09.v4.0067:pseudogenic_transcript	retrotransposon hot spot protein, pseudogene	Tb09.v4.0067	0	N/A	
Tb11.02.5070b	Tb11.02.5070b.1	hypothetical protein, conserved	Tb11.02.5070b	0	N/A	
Tb11.02.5380b	Tb11.02.5380b.1	exosome complex exonuclease RRP44p homologue, putative	Tb11.02.5380b	0	N/A	
Tb11.02.5400b	Tb11.02.5400b.1	cystathionine beta-synthase, putative	Tb11.02.5400b	0	N/A	
Tb11.02.5410b	Tb11.02.5410b:mRNA	ubiquitin activating enzyme, putative	Tb11.02.5410b	0	N/A	
Tb11.02.5420b	Tb11.02.5420b.1	NADPH-cytochrome p450 reductase, putative	Tb11.02.5420b	1	NN Sum: 4, NN D: .78, HMM Prob: .9	
Tb11.1780	Tb11.1780.1	retrotransposon hot spot protein 1 (RHS1, pseudogene), putative	Tb11.1780.1	0	N/A	
Tb11.1790	Tb11.1790.1	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb11.1790.1	0	N/A	
Tb11.v5.0196	Tb11.v5.0196.1	Proteasome subunit A N-terminal signature/Proteasome subunit, putative	Tb11.v5.0196	0	N/A	
Tb11.v5.0468	Tb11.v5.0468.1	alpha tubulin, putative	Tb11.v5.0468	0	N/A	
Tb11.v5.0489	Tb11.v5.0489.1	retrotransposon hot spot (RHS) protein, putative	Tb11.v5.0489	0	N/A	
Tb11.v5.0616	Tb11.v5.0616.1	paraflagellar rod protein, putative	Tb11.v5.0616	0	N/A	
Tb11.v5.0624	Tb11.v5.0624.1	retrotransposon hot spot protein (PHS), putative	Tb11.v5.0624	0	N/A	
Tb11.v5.0713	Tb11.v5.0713.1	retrotransposon hot spot (RHS) protein, putative	Tb11.v5.0713	0	N/A	
Tb11.v5.0853	Tb11.v5.0853.1	Vacuolar sorting protein 9 (VPS9) domain containing protein, putative	Tb11.v5.0853	0	N/A	
Tb11.v5.0996	Tb11.v5.0996.1	hypothetical protein, conserved	Tb11.v5.0996	0	N/A	
Tb927.1.1030	Tb927.1.1030:mRNA	Nucleolar protein 49	Tb927.1.1030	0	N/A	
Tb927.1.120	Tb927.1.120:mRNA	retrotransposon hot spot protein 4 (RHS4), putative	Tb927.1.120	0	N/A	
Tb927.1.1220	Tb927.1.1220:mRNA	RWD domain-containing protein	Tb927.1.1220	0	N/A	
Tb927.1.1240	Tb927.1.1240:mRNA	cytidine triphosphate synthase, putative	Tb927.1.1240	0	N/A	
Tb927.1.1380	Tb927.1.1380:mRNA	serine/threonine protein phosphatase 2A regulatory subunit, putative	Tb927.1.1380	0	N/A	
Tb927.1.1470	Tb927.1.1470:mRNA	conserved protein, unknown function	Tb927.1.1470	0	N/A	
Tb927.1.1540	Tb927.1.1540:mRNA	Tubulin/FtsZ family, putative	Tb927.1.1540	0	NN Sum: 2, NN D: .46, HMM Prob: .73	
Tb927.1.1560	Tb927.1.1560:mRNA	vesicular-fusion protein nsf, putative	Tb927.1.1560	0	N/A	
Tb927.1.1580	Tb927.1.1580:mRNA	electron transport protein SCO1/2, putative	Tb927.1.1580	0	N/A	
Tb927.1.1620	Tb927.1.1620:mRNA	ATP-dependent DEAD/H RNA helicase, putative	Tb927.1.1620	0	N/A	
Tb927.1.1630	Tb927.1.1630:mRNA	transcription elongation factor 1 homolog	Tb927.1.1630	0	N/A	
Tb927.1.1670	Tb927.1.1670:mRNA	ARM-like helical domain-containing protein	Tb927.1.1670	0	N/A	
Tb927.1.1700	Tb927.1.1700:mRNA	AATF protein, putative	Tb927.1.1700	0	N/A	
Tb927.1.1730	Tb927.1.1730:mRNA	Polyadenylation mediator complex protein PAMC1, putative	Tb927.1.1730	0	N/A	
Tb927.1.1790	Tb927.1.1790:mRNA	hypothetical PIN domain-containing protein, conserved	Tb927.1.1790	0	N/A	
Tb927.1.180	Tb927.1.180:mRNA	retrotransposon hot spot protein 1 (RHS1), putative	Tb927.1.180	0	N/A	
